date,scrap_type,title,original_title,score,annee,public,genre,saison,time,pays,langue,description
2022-12-14 19:26:55.724670,serie,Peep Show,Peep Show,8.7,2003–2015,16+,Comedy, 9,25,United Kingdom,,"Mark and Jez are a couple of twenty-something roommates who have nothing in common - except for the fact that their lives are anything but normal. Mayhem ensues as the pair strive to cope wi..., "
2022-12-14 19:27:08.222780,serie,The Shield,The Shield,8.7,2002–2008,16+,Crime, 7,47,United States,English,Drama series following the lives and cases of dirty cop Vic Mackey and the LAPD unit under his command.
2022-12-14 19:26:52.176758,serie,Top Gear,Top Gear,8.7,2002– ,Tous publics,Adventure,33,1,United Kingdom,English,"The hosts talk about everything car-related. From new cars to how they're fueled, this show has it all."
2022-12-14 19:27:20.893627,serie,Six Feet Under,Six Feet Under,8.7,2001–2005,16+,Comedy, 5,1,United States,English,A chronicle of the lives of a dysfunctional family who run an independent funeral home in Los Angeles.
2022-12-14 19:27:18.347092,serie,Oz,Oz,8.7,1997–2003,16+,Crime, 6,55,United States,,A series chronicling the daily activities of an unusual prison facility and its criminal inhabitants.
2022-12-14 19:26:48.671713,serie,Berserk,Kenpuu Denki Berserk,8.7,1997–1998,14+,Animation, 1,23,Japan,,"Guts is a skilled swordsman who joins forces with a mercenary group named 'The Band of the Hawk', lead by the charismatic Griffith, and fights with them as they battle their way into the roy..., "
2022-12-14 19:27:22.036478,serie,South Park,South Park,8.7,1997– ,14+,Animation,25,22,United States,English,"Follows the misadventures of four irreverent grade-schoolers in the quiet, dysfunctional town of South Park, Colorado."
2022-12-14 19:26:41.875088,serie,Father Ted,Father Ted,8.7,1995–1998,14+,Comedy, 1,25,United Kingdom,English,"Three misfit priests and their housekeeper live on Craggy Island, not the peaceful and quiet part of Ireland that it seems to be."
2022-12-14 19:25:39.743790,serie,Homicide: Life on the Street,Homicide: Life on the Street,8.7,1993–1999,14+,Crime, 7,1,United States,,Life on the Street is an American police procedural television series chronicling the work of a fictional version of the Baltimore Police Department's Homicide Unit.
2022-12-14 19:27:10.004054,serie,The Simpsons,The Simpsons,8.7,1989– ,14+,Animation,34,22,United States,English,The satiric adventures of a working-class family in the misfit city of Springfield.
2022-12-14 19:26:14.223493,serie,Lonesome Dove,Lonesome Dove,8.7,1989,14+,Adventure, 1,384,United States,,Two former Texas Rangers renew their spirit of adventure as they and several other residents of a small Texas town join a cattle drive to the Montana Territory.
2022-12-14 19:26:24.318564,serie,Mystery Science Theater 3000,Mystery Science Theater 3000,8.7,1988–1999,14+,Comedy,11,92,United States,English,"In the not-too-distant future Joel Robinson is held captive by Dr. Forrester and TV's Frank, forced to watch B-Grade movies on the Satellite of Love with the help of his robot friends: Cambo..., "
2022-12-14 19:26:54.909949,serie,Star Trek: The Next Generation,Star Trek: The Next Generation,8.7,1987–1994,Tous publics,Action, 7,44,United States,English,"Set almost 100 years after Captain Kirk's 5-year mission, a new generation of Starfleet officers set off in the U.S.S. Enterprise-D on its own mission to go where no one has gone before."
2022-12-14 19:26:12.541777,serie,The Return of Sherlock Holmes,The Return of Sherlock Holmes,8.7,1986–1988,Tous publics,Crime, 2,1,United Kingdom,,"Sherlock Holmes and Dr Watson solve the mysteries of the devil's foot, Silver Blaze, Wisteria Lodge and the Bruce-Partington Plans."
2022-12-14 19:26:52.882410,serie,The Adventures of Sherlock Holmes,The Adventures of Sherlock Holmes,8.7,1984–1985,Tous publics,Crime, 2,1,United Kingdom,,"Sherlock Holmes and Dr Watson solve the mysteries of copper beeches, a Greek interpreter, the Norwood builder, a resident patient, the red-headed league, and one final problem."
2022-12-14 19:26:00.361701,serie,Yes Minister,Yes Minister,8.7,1980–1984,Tous publics,Comedy, 3,30,United Kingdom,,"The Right Honorable James Hacker has landed the plum job of Cabinet Minister to the Department of Administration. At last he is in a position of power and can carry out some long-needed refo..., "
2022-12-14 19:25:40.061733,serie,El Chavo del Ocho,El Chavo del Ocho,8.7,1972–1983,Tous publics,Comedy, 4,30,Mexico,"Mexico City, Distrito Federal, Mexico","The misadventures of a poor, homeless, fumbling boy and his friends in their humble neighborhood."
2022-12-14 19:26:06.165578,serie,Dopesick,Dopesick,8.6,2021,16+,Drama, 1,492,United States,,"The series takes viewers to the epicenter of America's struggle with opioid addiction, from the boardrooms of Purdue Pharma, to a distressed Virginia mining community, to the hallways of the..., "
